id,name,text,trans
0000000000000,担任教師,今日は定期試験が近いこともあり、\n自習時間をレッスンにあててよし。,考虑到近期有定期考试，\n自习时间可以用来进行训练。
0000000000000,担任教師,プロデューサーがいるものは\n相談して決めなさい。,有制作人陪同的同学\n请和他商量后再决定。
0000000000000,リーリヤ,授業中にセンパイと会うのって、\n新鮮、ですね……。,在课堂上遇见前辈这种事，\n真新鲜呢……
0000000000000,リーリヤ,えっと……\n今日は、何をするんですか？,那个……\n今天要做什么呢？
0000000000000,{user},（さて、今日のレッスンは……）,（好了，今天的训练内容是……）
select,,ボーカルレッスン,歌唱训练
select,,ダンスレッスン,舞蹈训练
select,,ビジュアル\nレッスン,表现力\n训练
0000000000000,リーリヤ,……歌ですね。\nわかりました。,……是唱歌啊。\n我明白了。
0000000000000,リーリヤ,すぐに準備してきます。,我马上去准备。
0000000000000,リーリヤ,うぅ……歌とダンスを同時にするの、\n難しいんですよね……。,呜……同时兼顾唱歌和跳舞，\n好难啊……
0000000000000,リーリヤ,早くできるようにならないと……！\nよろしくお願いします。,必须快点掌握才行……！\n拜托您了。
0000000000000,リーリヤ,ビ、ビジュアル……\nあんまり自信がありません……。,表、表现力……\n我没什么自信……
0000000000000,リーリヤ,……あ、だからやるんです、よね。\nごめんなさい……！,……啊，所以才要练习对吧。\n对不起……！
info,adv_pevent_001_kllj_school_011.txt,,
译者,,,
