id,name,text,trans
0000000000000,手毬,プロデューサー。\nこんなところにいたんだ。,制作人。\n原来你在这里啊。
0000000000000,{user},静かな場所で、今日のライブを\n思い返していたんです。,在安静的地方\n回想着今天的演唱会。
0000000000000,手毬,……そう。,……嗯。
0000000000000,{user},月村さん。改めて……\nお疲れさまでした。,月村同学。再说一次……\n辛苦了。
0000000000000,{user},大成功のライブでしたね。,真是场成功的演唱会呢。
0000000000000,手毬,うん。,嗯。
0000000000000,手毬,……あの、さ。,……那个，我说。
0000000000000,手毬,肝心なこと、聞いてなかったよね。,最关键的事情还没问呢。
0000000000000,手毬,今日のライブは大成功だった。,今天的演唱会非常成功。
0000000000000,手毬,来てくれた人たちは、\n私の歌で喜んでくれた。,来看演出的人们\n都为我的歌声感到开心。
0000000000000,手毬,じゃあ、プロデューサーは？,那么，制作人觉得呢？
0000000000000,手毬,今日のライブ……\n私の歌、どうだった？,今天的演唱会……\n我的歌声，怎么样？
0000000000000,手毬,感想を、聞かせて。,请告诉我\n你的感想。
select,,素晴らしかった,非常精彩
select,,自己評価は？,自我评价呢？
0000000000000,手毬,――そう。,——这样啊。
0000000000000,手毬,なら、よかった。,那就太好了。
0000000000000,手毬,あれが、いまの私の精一杯だったから。,因为那已经是现在的我\n竭尽全力的表现了。
0000000000000,{user},なるほど。月村さん――,原来如此。月村同学——
0000000000000,{user},それでは、<em>どうしますか</em>？,那么，<em>要怎么做呢</em>？
0000000000000,手毬,次に進むための相談をさせて。,请让我为下一步的发展进行辅导。
0000000000000,{user},ライブを大成功させた……当日の夜に？,演唱会大获成功……就在当天晚上？
0000000000000,手毬,何度も言わせないで。\nこんなのはただの過程だよ。,别让我重复说。\n这只不过是过程罢了。
0000000000000,{user},まだ、ろくに祝福も\nしていないのですが……,明明连像样的祝福\n都还没给过……
0000000000000,手毬,……わかってるくせに。,……明明心知肚明。
0000000000000,手毬,階段を一歩上るたびに、\nお祝いしてたらきりがない。,每登上一个台阶都要庆祝的话，\n那可就没完没了了。
0000000000000,手毬,早く次に行こうよ、プロデューサー。,快点往下个阶段前进吧，制作人。
0000000000000,{user},お任せください。,请交给我吧。
0000000000000,手毬,最高の出来だったよ。,是最棒的演出哦。
0000000000000,手毬,いまの私に、\nあれ以上のライブはできない。,现在的我，\n无法完成比那更好的演唱会了。
0000000000000,手毬,だからこそ、プロデューサーの\n評価を聞きたいな。,正因如此，才想听听\n制作人的评价呢。
0000000000000,{user},最高の体験でした。,是最棒的体验。
0000000000000,{user},月村さんよりも、高い実力を持つ\nアイドルは……,比月村同学实力更强的\n偶像……
0000000000000,{user},世界のどこかにいるかもしれない。,或许存在于世界的某个角落。
0000000000000,手毬,うん。……いなきゃ困るよ。,嗯……要是没有的话可就困扰了。
0000000000000,{user},ですが、俺に……今日以上の感動を\nくれるアイドルはいない。,但是对我来说……能带来超越今日感动的\n偶像并不存在。
0000000000000,{user},世界中で、ひとりだけです。,全世界，仅此一人。
0000000000000,手毬,なにそれ。自分で育てた\nアイドルだからってこと？,这是什么说法。因为是亲手培养的\n偶像才这么说的吗？
0000000000000,{user},そうです。,正是如此。
0000000000000,手毬,ふぅん。,哼嗯。
0000000000000,手毬,いまの私は、プロデューサーにとって\n世界一のアイドルなんだ？,现在的我，对制作人来说\n是世界第一的偶像吗？
0000000000000,{user},そうです。,是的。
0000000000000,手毬,……なら、次は世界中の人にとっても、\nそうならなきゃね。,……那么，接下来必须\n成为全世界人心中的第一呢。
0000000000000,手毬,きっと……そういう存在こそが、\nトップアイドルだと思うから。,因为我相信……\n能成为这样的存在才是顶尖偶像。
0000000000000,{user},……そうですね。,……是啊。
0000000000000,{user},付き合いますよ、月村さん。,我会陪着你的，月村同学。
0000000000000,手毬,うん……頼りにしてる。,嗯……就拜托你了。
0000000000000,手毬,……えっと。,……那个。
0000000000000,手毬,…………一度しか言わないから。,…………我只说一次哦。
0000000000000,手毬,プロデューサー。,制作人。
0000000000000,手毬,ありがとう、大好き。,谢谢你，最喜欢你了。
0000000000000,手毬,これからも、よろしく。,今后也请多关照。
info,adv_pstory_001_ttmr_ending-true-01.txt,,
译者,,,
