id,name,text,trans
0000000000000,広,今日はヨガの体験動画の撮影……\nヨガはレッスンでも、やったことある。,今天是瑜伽体验视频的拍摄……\n瑜伽在训练中也做过呢。
0000000000000,{user},（経験はあるが、今回は一般人向けだ。\n　果たして――）,（虽然有过经验，但这次是面向普通人的。\n 究竟能不能——）
0000000000000,広,いたたたたたたたた……！！,疼疼疼疼疼疼疼疼……！！
select,,篠澤さんの事情を\n説明しよう,让我来说明一下\n筱泽同学的情况
select,,先に準備運動を\nさせてもらおう,先让我做一下\n准备运动吧
select,,プロを信じて\n託そう,相信专业人士\n托付给他们吧
0000000000000,広,わたしの関節を柔らかくするコース、\n考えてくれるって。たのしみ。,说是会为我设计\n让关节变柔软的课程，好期待。
0000000000000,{user},篠澤さんの身体もほぐれたし、\nいい仕事だったな。,筱泽同学的身体也放松了，\n真是次不错的工作呢。
0000000000000,広,いっちに、さんし……\nよし……ヨガの準備運動おっけー……,一二，三四……\n好……瑜伽准备运动完成……
0000000000000,{user},篠澤さんの身体もほぐれたし、\nいい仕事だったな。,筱泽同学的身体也放松了，\n真是次不错的工作呢。
0000000000000,広,い、いたい…………\nけど、身体がほぐれてる感じはする……,好、好痛…………\n不过感觉身体确实舒展多了……
0000000000000,{user},篠澤さんの身体もほぐれたし、\nいい仕事だったな。,筱泽同学的身体也放松了，\n真是次不错的工作呢。
info,adv_pevent_002_shro_sales_3-004-02.txt,,
译者,,,
