id,name,text,trans
0000000000000,担任教師,今日は定期試験が近いこともあり、\n自習時間をレッスンにあててよし。,考虑到近期要期中考试了，\n自习时间可以用来训练哦。
0000000000000,担任教師,プロデューサーがいるものは\n相談して決めなさい。,有制作人在场的话，\n可以和他商量后再决定。
0000000000000,莉波,ふふっ。きみとレッスンできて\n嬉しいよ。,呵呵。能和你一起训练\n真的很开心呢。
0000000000000,莉波,じゃあ、\n今日はなにをするの？,那么，\n今天要做什么呢？
0000000000000,{user},（さて、今日のレッスンは……）,（好了，今天的训练内容是……）
select,,ボーカルレッスン,歌唱训练
select,,ダンスレッスン,舞蹈训练
select,,ビジュアル\nレッスン,表现能力\n训练
0000000000000,莉波,今日は喉の調子も良いし、\n上手く歌える気がする！,今天嗓子状态不错，\n感觉能唱得很好！
0000000000000,莉波,急に一緒にいられることに\nなったからかな？　ふふっ。,是因为突然能在一起了\n的缘故吗？呵呵。
0000000000000,莉波,怪我しないように、\nしっかり準備運動しないと。,为了避免受伤，\n必须好好做热身运动才行。
0000000000000,莉波,きみも一緒にストレッチする？,你也一起来拉伸吗？
0000000000000,莉波,はい。\nじゃあ、着替えてくるね。,好的。\n那我去换衣服啦。
0000000000000,莉波,レッスン室で、集合♪,在训练室集合♪
info,adv_pevent_001_hrnm_school_011.txt,,
译者,,,
