id,name,text,trans
0000000000000,清夏,あー……\nねむ～い……,啊——……\n好困～……
0000000000000,{user},睡眠不足ですか？,睡眠不足吗？
0000000000000,清夏,そー。遅くまで起きてるつもり\nなかったのにさ～。,是呀～明明没打算\n熬夜到那么晚的～
0000000000000,清夏,昼寝しちゃって、\n夜に眠れなかったんだよね～。,因为白天睡午觉了，\n结果晚上睡不着啦～。
select,,横になるだけでも\n違いますよ,光是躺平也会\n有不同效果哦
select,,たまにあります,偶尔会这样呢
select,,問題ですね,这是个问题呢
0000000000000,清夏,横にはなってたんだケドさ？\nケータイ見ちゃって。,躺是躺下了啦？\n但忍不住看了手机。
0000000000000,{user},見なければ眠れたのでは？,要是不看的话就能睡着了吧？
0000000000000,清夏,それは言わない約束っしょ！,这种事情看破不说破啦！
0000000000000,清夏,……でも、やっぱソレだよねぇ～。\nあ～ねむー……,……不过果然还是这个原因吧～。\n啊～好困——……
0000000000000,{user},油断していると\nついやってしまいがちですね。,稍不注意\n就会忍不住犯这个毛病呢。
0000000000000,清夏,Pっちが優しい……,P亲好温柔……
0000000000000,清夏,え、もしかして、\nPっちも最近やっちゃった感じ！？,咦，难道说，\nP亲最近也犯过这个毛病！？
0000000000000,清夏,やだー、仲間じゃーん♪,讨厌～原来是同伴嘛♪
0000000000000,清夏,えー、でもしかたなくない？,诶～但这也是没办法的事吧？
0000000000000,{user},パフォーマンスに影響が\n出てはいけませんから。,毕竟不能影响\n演出表现呢。
0000000000000,{user},特に仕事が入ってくると。,特别是接下来有工作的时候。
0000000000000,清夏,仕事ないからいーじゃん。\n1回くらい許してよー。,反正没工作就没关系啦。\n偶尔一次就原谅我嘛～。
info,adv_pevent_001_ssmk_activity_003.txt,,
译者,,,
