id,name,text,trans
0000000000000,手毬,今日のスパリゾートの雑誌撮影……\n体験するコースって、選べるんですか？,今天在温泉度假村的杂志拍摄……\n体验项目是可以自己选择的吗？
0000000000000,{user},基本のエステコースの予定ですが、\nなにか希望のコースがあるんですか？,原本预定是基础护理项目，\n您有什么特别想体验的项目吗？
0000000000000,手毬,そ、その……プロデューサーなら、\nわかるでしょう！？,那、那个……制作人的话，\n应该明白的吧！？
select,,痩身エステ,瘦身护理
select,,アロママッサージ,芳香精油按摩
select,,足つぼマッサージ,足底穴位按摩
0000000000000,手毬,…………合ってるけど、\n即答されると腹が立つな。,…………猜是猜对了，\n但被秒答还是让人火大啊。
0000000000000,{user},月村さん、随分と\n満喫してきたようだ……,月村同学，看起来\n相当享受呢……
0000000000000,手毬,それも悪くはないですけど……\n食欲を抑える効果とか、ないかな……,那个也不是不行啦……\n有没有能抑制食欲的效果啊……
0000000000000,{user},月村さん、随分と\n満喫してきたようだ……,月村同学，看起来\n相当享受呢……
0000000000000,手毬,そんなわけないじゃないですか！\n絶対痛いし、普通のコースでいいです！,怎么可能选那种啦！\n绝对会很痛的，普通项目就好了！
0000000000000,{user},月村さん、随分と\n満喫してきたようだ……,月村同学，看起来\n相当享受呢……
info,adv_pevent_002_ttmr_sales_3-002-02.txt,,
译者,,,
